id,movementdate,totalequids,srcid,src_longitude,src_latitude,dstid,dst_longitude,dst_latitude
24574,2022/08/04,1,6765,28.07377068,-25.97937979,6311,18.75053098,-33.87376902
24601,2022/08/04,4,7568,22.4066831,-33.93675813,5292,18.58743975,-33.58926025
24604,2022/08/04,3,9558,28.31299172,-26.0732841,5408,18.54459896,-33.74640104
24605,2022/08/04,5,10614,28.35427,-25.83696676,7639,18.36818919,-34.11539081
24608,2022/08/04,1,6491,25.37731899,-33.92663835,6199,18.56528467,-34.00651533
24623,2022/08/04,1,7494,22.41091184,-34.02370224,5292,18.56864871,-33.60805129
24945,2022/08/04,1,7197,21.93669499,-28.21624151,5630,18.77843357,-33.38986643
24602,2022/08/05,2,6491,25.3749173,-33.93128018,5935,18.50620731,-33.86536269
24612,2022/08/05,2,6491,25.38643828,-33.92626857,6469,18.82395718,-33.64629282
24627,2022/08/05,2,7745,22.37993189,-34.00389326,5292,18.57032656,-33.60637344
24631,2022/08/05,1,6491,25.39101774,-33.93810972,5541,18.51147158,-33.86113842
24628,2022/08/06,4,7967,26.81673221,-33.51216202,7706,18.90321422,-33.70862578
24630,2022/08/06,1,6491,25.3811192,-33.92420079,164,18.78571483,-33.58932517
24632,2022/08/06,1,6491,25.37407598,-33.9436973,4841,18.54996233,-34.02183767
24629,2022/08/07,1,6999,22.05493426,-34.16449371,5428,18.61343133,-33.82226867
24641,2022/08/07,1,8361,23.08154647,-32.21745528,46,19.0186337,-33.6773763
24611,2022/08/08,2,8093,22.39818001,-33.93320967,5611,18.88796967,-33.78339033
24668,2022/08/08,1,8121,29.32058683,-30.29647619,6304,18.96629416,-33.80610584
24759,2022/08/08,1,8672,22.3716269,-33.96384032,8479,18.79663139,-33.89093861
24600,2022/08/09,1,8093,22.397069,-33.93207903,7850,18.90509772,-33.38590228
24610,2022/08/09,1,8093,22.40335462,-33.92688516,87,18.81691416,-33.75675584
24643,2022/08/10,3,7023,27.98854908,-25.98223911,6013,18.43392623,-34.03747377
24645,2022/08/10,1,6486,30.74349245,-29.79719383,7004,18.95035528,-33.90370472
24646,2022/08/10,5,6486,30.75234553,-29.80278069,62,19.03303913,-33.89171087
24648,2022/08/10,1,6486,30.73714839,-29.79670465,7819,18.42600661,-34.01336339
24649,2022/08/10,2,6486,30.7418999,-29.79284648,7819,18.43752285,-34.00184715
24651,2022/08/10,1,6486,30.75116299,-29.80366858,4938,18.74011321,-33.81858679
24666,2022/08/10,1,6486,30.74862907,-29.7892874,4938,18.72802186,-33.83067814
24773,2022/08/10,1,9746,30.62083111,-29.21174261,6694,19.45223263,-33.36566737
24778,2022/08/10,1,7974,30.71354851,-29.82329957,6267,18.368614,-34.111986
24642,2022/08/11,1,7138,21.24207875,-28.42925162,7737,18.86221607,-33.95157393
24667,2022/08/11,13,6492,30.70330477,-29.83156188,6313,18.51847377,-33.85286623
24669,2022/08/11,1,6492,30.7162166,-29.82290127,6538,19.93432812,-33.83827188
24670,2022/08/11,1,6522,28.16421034,-25.9308774,5991,18.71756782,-32.70771218
24687,2022/08/11,2,6956,24.75850178,-28.8821976,9274,19.00199695,-33.83192305
24709,2022/08/11,11,6492,30.70732506,-29.82565107,6313,18.51578859,-33.85555141
24721,2022/08/11,2,6492,30.71756123,-29.83146201,4971,18.50910404,-33.86186596
24729,2022/08/11,9,6492,30.71681371,-29.83295332,5935,18.50891248,-33.86265752
24755,2022/08/11,2,6492,30.70588518,-29.82823253,5541,18.50278277,-33.86982723
24775,2022/08/11,1,6522,28.16015573,-25.92207255,14,19.00975434,-33.87539566
24777,2022/08/11,1,6492,30.70965915,-29.81643344,7727,19.77328893,-33.81848107
24781,2022/08/11,2,6492,30.70427103,-29.81951389,6199,18.5679259,-34.0038741
24785,2022/08/11,1,10344,30.72156879,-29.7702783,6264,18.94829758,-33.91030242
25024,2022/08/11,1,8672,22.38761285,-33.96892409,6095,18.36083606,-34.01946394
24671,2022/08/12,3,9793,21.17159021,-33.52368346,7297,19.85649594,-34.62378406
24674,2022/08/12,2,7187,21.28293558,-34.11283317,7297,19.84468771,-34.63559229
24675,2022/08/12,5,6631,29.98207913,-29.17803714,6469,18.8193281,-33.6509219
24676,2022/08/12,2,6492,30.72189179,-29.82171084,6469,18.80937939,-33.66087061
24689,2022/08/12,13,6688,30.68811674,-29.75617803,6199,18.55759182,-34.01420818
24690,2022/08/12,1,6688,30.68557937,-29.77166873,4906,19.23430619,-33.39539381
24691,2022/08/12,1,6631,29.96443777,-29.19212251,6464,18.22118706,-33.29771294
24720,2022/08/12,16,6492,30.70841076,-29.8288963,6469,18.81328824,-33.65696176
24776,2022/08/12,4,7148,21.60961691,-34.21434812,7297,19.84943444,-34.63084556
26016,2022/08/12,3,7528,21.19356424,-34.15293737,7297,19.85392871,-34.62635129
